location,date,total_cases,new_cases,total_deaths,new_deaths
Ghana,2020-03-13,2,2,0,0
Ghana,2020-03-15,2,0,0,0
Ghana,2020-03-16,2,0,0,0
Ghana,2020-03-17,6,4,0,0
Ghana,2020-03-18,6,0,0,0
Ghana,2020-03-19,7,1,0,0
Ghana,2020-03-20,11,4,0,0
Ghana,2020-03-21,16,5,0,0
Ghana,2020-03-22,21,5,1,1
Ghana,2020-03-23,24,3,1,0
Ghana,2020-03-24,27,3,2,1
Ghana,2020-03-25,53,26,2,0
Ghana,2020-03-26,68,15,3,1
Ghana,2020-03-27,132,64,3,0
Ghana,2020-03-28,137,5,3,0
Ghana,2020-03-29,141,4,5,2
Ghana,2020-03-30,152,11,5,0
Ghana,2020-03-31,152,0,5,0
Ghana,2020-04-01,152,0,5,0
Ghana,2020-04-02,195,43,5,0
Ghana,2020-04-03,204,9,5,0
Ghana,2020-04-04,205,1,5,0
Ghana,2020-04-05,214,9,5,0
Ghana,2020-04-06,214,0,5,0
Ghana,2020-04-07,287,73,5,0
Ghana,2020-04-08,287,0,5,0
Ghana,2020-04-09,313,26,6,1
Ghana,2020-04-10,378,65,6,0
Ghana,2020-04-11,378,0,6,0
Ghana,2020-04-12,408,30,8,2
Ghana,2020-04-13,566,158,8,0
Ghana,2020-04-14,566,0,8,0
Ghana,2020-04-15,636,70,8,0
Ghana,2020-04-16,641,5,8,0
Ghana,2020-04-17,641,0,8,0
Ghana,2020-04-18,641,0,8,0
Ghana,2020-04-19,834,193,9,1
Ghana,2020-04-20,1042,208,9,0
Ghana,2020-04-21,1042,0,9,0
Ghana,2020-04-22,1042,0,9,0
Ghana,2020-04-23,1154,112,9,0
Ghana,2020-04-24,1154,0,9,0
Ghana,2020-04-25,1279,125,10,1
Ghana,2020-04-26,1279,0,10,0
Ghana,2020-04-27,1550,271,11,1
Ghana,2020-04-28,1550,0,11,0
Ghana,2020-04-29,1671,121,16,5
Ghana,2020-04-30,1671,0,16,0
Ghana,2020-05-01,2074,403,17,1
Ghana,2020-05-02,2074,0,17,0
Ghana,2020-05-03,2169,95,18,1
Ghana,2020-05-04,2169,0,18,0
Ghana,2020-05-05,2719,550,18,0
Ghana,2020-05-06,2719,0,18,0
Ghana,2020-05-07,3091,372,18,0
Ghana,2020-05-08,3091,0,18,0
Ghana,2020-05-09,4012,921,18,0
Ghana,2020-05-10,4263,251,22,4
Ghana,2020-05-11,4263,0,22,0
Ghana,2020-05-12,4700,437,22,0
Ghana,2020-05-13,5127,427,22,0
Ghana,2020-05-14,5408,281,24,2
Ghana,2020-05-15,5530,122,24,0
Ghana,2020-05-16,5638,108,28,4
Ghana,2020-05-17,5735,97,29,1
Ghana,2020-05-18,5735,0,29,0
Ghana,2020-05-19,5735,0,29,0
Ghana,2020-05-20,6096,361,31,2
Ghana,2020-05-21,6269,173,31,0
Ghana,2020-05-22,6486,217,31,0
Ghana,2020-05-23,6617,131,31,0
Ghana,2020-05-24,6617,0,31,0
Ghana,2020-05-25,6683,66,32,1
Ghana,2020-05-26,6808,125,32,0
Ghana,2020-05-27,7117,309,34,2
Ghana,2020-05-28,7303,186,34,0
Ghana,2020-05-29,7303,0,34,0
Ghana,2020-05-30,7616,313,34,0
Ghana,2020-05-31,7768,152,35,1
Ghana,2020-06-01,8070,302,36,1
Ghana,2020-06-02,8070,0,36,0
Ghana,2020-06-03,8297,227,38,2
Ghana,2020-06-04,8548,251,38,0
Ghana,2020-06-05,8885,337,38,0
Ghana,2020-06-06,9168,283,42,4
Ghana,2020-06-07,9462,294,44,2
Ghana,2020-06-08,9638,176,44,0
Ghana,2020-06-09,9910,272,48,4
Ghana,2020-06-10,10201,291,48,0
Ghana,2020-06-11,10358,157,48,0
Ghana,2020-06-12,10358,0,48,0
Ghana,2020-06-13,11118,760,48,0
Ghana,2020-06-14,11422,304,51,3
Ghana,2020-06-15,11964,542,54,3
Ghana,2020-06-16,11964,0,54,0
Ghana,2020-06-17,12193,229,58,4
Ghana,2020-06-18,12590,397,66,8
Ghana,2020-06-19,12929,339,66,0
Ghana,2020-06-20,13203,274,70,4
Ghana,2020-06-21,13711,508,85,15
Ghana,2020-06-22,14154,443,85,0
Ghana,2020-06-23,14154,0,85,0
Ghana,2020-06-24,14568,414,95,10
Ghana,2020-06-25,15013,445,95,0
Ghana,2020-06-26,15473,460,95,0
Ghana,2020-06-27,15834,361,103,8
Ghana,2020-06-28,16431,597,103,0
Ghana,2020-06-29,17351,920,112,9
Ghana,2020-06-30,17351,0,112,0
Ghana,2020-07-01,17741,390,112,0
Ghana,2020-07-02,18134,393,117,5
Ghana,2020-07-03,18134,0,117,0
Ghana,2020-07-04,19388,1254,117,0
Ghana,2020-07-05,19388,0,117,0
Ghana,2020-07-06,20085,697,122,5
Ghana,2020-07-07,21077,992,129,7
Ghana,2020-07-08,21968,891,129,0
